spatial_id,acres,alternative,rx_acres,canopy_per,type_per,invasive_per,stocking_per,horiz_div,vert_div,size_div,dead_tpa,species_div
p12c001u006st04,49.2445974457,,0,0,0,0,0,0,0,0,0,0
p12c002u001st01,27.5842775286,,0,0,0,0,0,0,0,0,0,0
p12c002u001st02,34.1463881231,,0,0,0,0,0,0,0,0,0,0
p12c002u001st03,88.1182210595,,0,0,0,0,0,0,0,0,0,0
p12c002u001st04,51.5454599211,,0,0,0,0,0,0,0,0,0,0
p12c002u001st05,58.8196607916,,0,0,0,0,0,0,0,0,0,0
p12c002u001st06,26.7137475834,,0,0,0,0,0,0,0,0,0,0
p12c002u001st07,75.8304638902,,0,0,0,0,0,0,0,0,0,0
p12c002u001st08,60.1770484594,,0,0,0,0,0,0,0,0,0,0
p12c002u001st09,55.1591329222,,0,0,0,0,0,0,0,0,0,0
p12c002u001st10,65.9099296807,,0,0,0,0,0,0,0,0,0,0
p12c002u001st11,23.5250282986,,0,0,0,0,0,0,0,0,0,0
p12c002u001st12,56.0437452824,,0,0,0,0,0,0,0,0,0,0
p12c002u001st13,69.9903783343,,0,0,0,0,0,0,0,0,0,0
p12c002u001st14,66.5625853634,,0,0,0,0,0,0,0,0,0,0
p12c002u001st15,34.869019946,,0,0,0,0,0,0,0,0,0,0
p12c002u001st16,28.329397746,,0,0,0,0,0,0,0,0,0,0
p12c002u002st01,112.719608343,,0,0,0,0,0,0,0,0,0,0
p12c002u002st02,81.8592323272,,0,0,0,0,0,0,0,0,0,0
p12c002u002st03,26.4980454141,,0,0,0,0,0,0,0,0,0,0
p12c002u002st04,45.3463396015,,0,0,0,0,0,0,0,0,0,0
p12c002u003st01,110.566521531,,0,0,0,0,0,0,0,0,0,0
p12c002u003st02,69.5094672845,,0,0,0,0,0,0,0,0,0,0
p12c002u003st03,57.3541307563,,0,0,0,0,0,0,0,0,0,0
p12c002u003st04,34.1424414366,,0,0,0,0,0,0,0,0,0,0
p12c002u003st05,9.14918466999,,0,0,0,0,0,0,0,0,0,0
p12c002u003st06,34.9848748197,,0,0,0,0,0,0,0,0,0,0
p12c002u003st07,22.5379623487,,0,0,0,0,0,0,0,0,0,0
p12c002u003st08,4.86033733866,,0,0,0,0,0,0,0,0,0,0
p12c002u003st09,71.6664878214,,0,0,0,0,0,0,0,0,0,0
p12c002u003st10,10.8693109339,,0,0,0,0,0,0,0,0,0,0
p12c002u004st01,68.6594623772,,0,0,0,0,0,0,0,0,0,0
p12c002u004st02,63.5033758487,,0,0,0,0,0,0,0,0,0,0
p12c002u004st03,94.7436017392,,0,0,0,0,0,0,0,0,0,0
p12c002u004st04,55.5167517386,,0,0,0,0,0,0,0,0,0,0
p12c002u004st05,74.1559877477,,0,0,0,0,0,0,0,0,0,0
p12c002u004st06,46.5860249283,,0,0,0,0,0,0,0,0,0,0
p12c002u004st07,45.1642279173,,0,0,0,0,0,0,0,0,0,0
p12c002u004st08,81.9550882334,,0,0,0,0,0,0,0,0,0,0
p12c002u004st09,29.8822442924,,0,0,0,0,0,0,0,0,0,0
p12c002u004st10,37.3706799687,,0,0,0,0,0,0,0,0,0,0
p12c003u001st01,3.57599430696,,0,0,0,0,0,0,0,0,0,0
p12c003u001st02,21.9661351085,,0,0,0,0,0,0,0,0,0,0
p12c003u001st03,60.6164665444,,0,0,0,0,0,0,0,0,0,0
p12c003u001st04,45.0027842715,,0,0,0,0,0,0,0,0,0,0
p12c003u001st05,54.3253771934,,0,0,0,0,0,0,0,0,0,0
p12c003u001st06,46.1335275566,,0,0,0,0,0,0,0,0,0,0
p12c003u001st07,27.1862946217,,0,0,0,0,0,0,0,0,0,0
p12c003u001st08,34.2325931492,,0,0,0,0,0,0,0,0,0,0
p12c003u001st09,15.7988263778,,0,0,0,0,0,0,0,0,0,0
p12c003u001st10,53.0528038003,,0,0,0,0,0,0,0,0,0,0
p12c003u001st11,20.7893458787,,0,0,0,0,0,0,0,0,0,0
p12c003u001st12,38.5500096885,,0,0,0,0,0,0,0,0,0,0
p12c003u002st01,46.1023779165,,0,0,0,0,0,0,0,0,0,0
p12c003u002st02,43.6039778191,,0,0,0,0,0,0,0,0,0,0
p12c003u002st03,7.18592051324,,0,0,0,0,0,0,0,0,0,0
p12c003u002st04,29.9423496587,,0,0,0,0,0,0,0,0,0,0
p12c003u002st05,25.7859710363,,0,0,0,0,0,0,0,0,0,0
p12c004u001st01,17.6994296295,,0,0,0,0,0,0,0,0,0,0
p12c004u002st01,24.724155572,,0,0,0,0,0,0,0,0,0,0
p12c004u002st02,58.4507890506,,0,0,0,0,0,0,0,0,0,0
p12c004u002st03,30.9381573426,,0,0,0,0,0,0,0,0,0,0
p12c004u002st04,38.2601941497,,0,0,0,0,0,0,0,0,0,0
p12c004u002st05,13.8727606758,,0,0,0,0,0,0,0,0,0,0
p12c004u002st06,25.7409631239,,0,0,0,0,0,0,0,0,0,0
p12c004u002st07,12.8535042422,,0,0,0,0,0,0,0,0,0,0
p12c004u002st08,33.1123004832,,0,0,0,0,0,0,0,0,0,0
p12c004u002st09,58.2408032872,,0,0,0,0,0,0,0,0,0,0
p12c004u002st10,32.4090847204,,0,0,0,0,0,0,0,0,0,0
p12c005u001st01,16.7695123542,,0,0,0,0,0,0,0,0,0,0
p12c005u002st01,34.7119954254,,0,0,0,0,0,0,0,0,0,0
p12c005u002st02,59.9817348854,,0,0,0,0,0,0,0,0,0,0
p12c005u002st03,63.0830870504,,0,0,0,0,0,0,0,0,0,0
p12c005u002st04,20.3492721693,,0,0,0,0,0,0,0,0,0,0
p12c005u002st05,75.7475030517,,0,0,0,0,0,0,0,0,0,0
p12c005u002st06,21.3716299493,,0,0,0,0,0,0,0,0,0,0
p12c005u002st07,35.230664297,,0,0,0,0,0,0,0,0,0,0
p12c005u002st08,55.3045567112,,0,0,0,0,0,0,0,0,0,0
p12c005u002st09,56.6528399843,,0,0,0,0,0,0,0,0,0,0
p12c005u002st10,17.1452581285,,0,0,0,0,0,0,0,0,0,0
p12c005u002st11,36.9157049719,,0,0,0,0,0,0,0,0,0,0
p12c005u002st12,22.4010084694,,0,0,0,0,0,0,0,0,0,0
p12c005u002st13,29.8879528961,,0,0,0,0,0,0,0,0,0,0
p12c005u002st14,16.5776207775,,0,0,0,0,0,0,0,0,0,0
p12c005u002st15,27.1464927405,,0,0,0,0,0,0,0,0,0,0
p12c005u002st16,37.6864650548,,0,0,0,0,0,0,0,0,0,0
p12c005u002st17,18.0073983688,,0,0,0,0,0,0,0,0,0,0
p12c005u002st18,45.4521468303,,0,0,0,0,0,0,0,0,0,0
p12c005u002st19,25.6975072947,,0,0,0,0,0,0,0,0,0,0
p12c005u002st20,25.4256874169,,0,0,0,0,0,0,0,0,0,0
p12c005u002st21,7.7352188101,,0,0,0,0,0,0,0,0,0,0
p12c005u002st22,16.5448366702,,0,0,0,0,0,0,0,0,0,0
p12c005u002st23,24.7561268699,,0,0,0,0,0,0,0,0,0,0
p12c005u002st24,6.83453562188,,0,0,0,0,0,0,0,0,0,0
p12c005u003st01,83.3324768731,,0,0,0,0,0,0,0,0,0,0
p12c005u003st02,56.9265556509,,0,0,0,0,0,0,0,0,0,0
p12c006u002st01,80.4565688334,,0,0,0,0,0,0,0,0,0,0
p12c006u002st02,67.0579888684,,0,0,0,0,0,0,0,0,0,0
p12c006u002st03,76.4265267769,,0,0,0,0,0,0,0,0,0,0
p12c006u002st04,61.1831580701,,0,0,0,0,0,0,0,0,0,0
p12c006u002st05,64.6031702479,,0,0,0,0,0,0,0,0,0,0
p12c006u002st06,37.4348452167,,0,0,0,0,0,0,0,0,0,0
